Assessment Name,URL,Duration,Remote Testing Support,Adaptive/IRT,Test Type,Skills,Description
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,N/A,Yes,No,"A
E
B
C
D
P","Director,  Entry-Level,  Executive,  General Population,  Graduate,  Manager,  Mid-Professional,  Front Line Manager,  Supervisor, ","This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills."
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,Approximate Completion Time in minutes = 30,Yes,No,K,"Professional Individual Contributor,  Mid-Professional, ","The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security."
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,Approximate Completion Time in minutes = 17,Yes,No,K,"Mid-Professional,  Professional Individual Contributor, ","Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas."
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,Approximate Completion Time in minutes = 5,Yes,No,K,"Mid-Professional,  Professional Individual Contributor, ","Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start."
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,Approximate Completion Time in minutes = 11,Yes,No,K,"Mid-Professional,  Professional Individual Contributor, ","Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF."
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,Approximate Completion Time in minutes = 9,Yes,No,K,"Mid-Professional,  Professional Individual Contributor, ","Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications."
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,Approximate Completion Time in minutes = 5,Yes,No,K,"Mid-Professional,  Professional Individual Contributor, ","Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts."
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,Approximate Completion Time in minutes = 9,Yes,No,K,"Entry-Level,  Graduate,  Mid-Professional,  Professional Individual Contributor, ","Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries."
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Approximate Completion Time in minutes = 8,Yes,No,S,"Entry-Level,  Graduate,  Mid-Professional,  Professional Individual Contributor, ",Simulated data entry test that measures the ability to process payables and vendor invoices.
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Approximate Completion Time in minutes = 13,Yes,No,K,"Entry-Level,  Graduate,  Mid-Professional,  Professional Individual Contributor, ",Multiple-choice test that measures the knowledge of processing receivables and invoices.
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Approximate Completion Time in minutes = 8,Yes,No,S,"Entry-Level,  Graduate,  Mid-Professional,  Professional Individual Contributor, ",Simulated data entry test that measures the ability to process receivables and invoices.
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,Approximate Completion Time in minutes = 10,Yes,No,K,"Mid-Professional,  Professional Individual Contributor, ","Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects."
Motivation Questionnaire MQM5,https://www.shl.com/products/product-catalog/view/motivation-questionnaire-mqm5/,"Approximate Completion Time in minutes = Untimed, approx. 25",Yes,No,P,"Director,  Entry-Level,  Executive,  Front Line Manager,  General Population,  Graduate,  Manager,  Mid-Professional,  Professional Individual Contributor,  Supervisor, ","By understanding what motivates their staff, managers can unlock each individual’s full potential and direct their energies more constructively. This questionnaire measures 18 dimensions of an individual’s motivation, and provides a comprehensive understanding of those situations which increase and reduce their motivation."
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,"Approximate Completion Time in minutes = Untimed, approx. 25",Yes,No,P,"Professional Individual Contributor,  Supervisor,  Mid-Professional,  Front Line Manager,  General Population,  Graduate,  Manager,  Director,  Executive, ","The SHL Occupational Personality Questionnaire, the OPQ32, is one of the most widely used and respected measures of workplace behavioural style in the world. It sets a high standard of measurement excellence, providing HR professionals and business managers with relevant and accurate information to make fast and well-informed people decisions. The OPQ32 provides a clear framework for understanding the impact of personality on job performance. It is internationally recognised for its accuracy of assessment. Over 90 independent validation studies have been conducted on the OPQ over a period of 25 years, across 20 countries and 40 industries, providing concrete evidence of its power to predict performance in the workplace."
